arrival_mode,ci95_high,ci95_low,concurrency,cost_id,experiment_id,group_id,mean,median,metric,n,offered_load_rps,policy_id,regime,resamples,resampling_unit,std
poisson,782.8890269159238,171.4087550042359,,piecewise_mix_1,E8,E8-88a73b435bb5,405.15993852495734,228.58841903430334,short_prompt_ttft_p95_ms,5,32,mono,mixed,2000,workload_seed,425.5675901004293
poisson,885.4688513995613,214.1484808900463,,piecewise_mix_1,E8,E8-88a73b435bb5,459.0392959303188,295.9890378097087,long_prompt_ttft_p95_ms,5,32,mono,mixed,2000,workload_seed,475.56247249664295
poisson,68.15610676,12.337579766000006,,piecewise_mix_1,E8,E8-88a73b435bb5,37.59686456,24.801940099999996,primer_max_itl_ms,5,32,mono,mixed,2000,workload_seed,36.26575337545057
poisson,52.6,26.4,,piecewise_mix_1,E8,E8-88a73b435bb5,38.2,38.0,backlog_at_arrival_end,5,32,mono,mixed,2000,workload_seed,16.798809481626964
poisson,1.0,0.9960282733399646,,piecewise_mix_1,E8,E8-88a73b435bb5,0.9986760911133213,1.0,server_busy_fraction,5,32,mono,mixed,2000,workload_seed,0.0029603502666290275
poisson,0.7038796725491097,0.431791733151496,,piecewise_mix_1,E8,E8-88a73b435bb5,0.5678357028503028,0.5455354281366723,batch_slot_occupancy,5,32,mono,mixed,2000,workload_seed,0.1790835820965696
poisson,264.7738907822333,16.190666251064943,,a_p0.5_d0.5,E8,E8-9d2be512b798,105.39641384656572,19.213498232544424,ttft_p50_ms,5,32,chunk_512,mixed,2000,workload_seed,175.54539033511404
poisson,692.9800084456841,155.22154281569118,,a_p0.5_d0.5,E8,E8-9d2be512b798,348.5930892485377,204.13582843258814,ttft_p95_ms,5,32,chunk_512,mixed,2000,workload_seed,378.61143382896313
poisson,769.0139593680485,192.13987282829723,,a_p0.5_d0.5,E8,E8-9d2be512b798,405.1699982791721,252.34429525581317,ttft_p99_ms,5,32,chunk_512,mixed,2000,workload_seed,403.4079302291369
poisson,7.178021712468296,4.570557550343533,,a_p0.5_d0.5,E8,E8-9d2be512b798,5.874289631405914,5.259358333333362,tpot_p95_ms,5,32,chunk_512,mixed,2000,workload_seed,1.7249549918436902
poisson,7.77259236750095,5.472110135664383,,a_p0.5_d0.5,E8,E8-9d2be512b798,6.592639826203552,5.657685349206452,tpot_p99_ms,5,32,chunk_512,mixed,2000,workload_seed,1.5124241249591188
