arrival_mode,baseline_mean,baseline_policy,candidate_mean,ci95_high,ci95_low,concurrency,cost_id,experiment_id,group_id,mean,mean_delta,median,metric,n,offered_load_rps,paired_dz,policy_id,regime,relative_change_pct,relative_ci95_high,relative_ci95_low,resamples,resampling_unit,std
poisson,1.2860600730455007,mono,1.2860600730455007,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,tpot_p99_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,512.9378840666717,mono,512.9378840666717,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,e2e_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,1.228776399999965,mono,1.228776399999965,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,itl_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,2.9095847000001185,mono,2.9095847000001185,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,itl_p99_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,17.216364463197593,mono,17.216364463197593,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,request_throughput_rps,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,4677.058819193906,mono,4677.058819193906,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,output_token_throughput_tps,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,17.578045831170254,mono,17.578045831170254,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,observed_request_throughput_rps,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.34198814064266214,mono,0.34198814064266214,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,iteration_cv,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,4.373179909471219,mono,4.373179909471219,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,max_wait_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.0,mono,0.0,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,starvation_proxy_count,5,16,,chunk_512,short_long,,,,2000,workload_seed,0.0
poisson,0.9999996104472988,mono,0.9999996104472988,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,waiting_satisfaction_jain,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,5.945483901281781,mono,5.945483901281781,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,short_prompt_ttft_p95_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,4.198770930000007,mono,4.198770930000007,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,primer_max_itl_ms,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,2.8,mono,2.8,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,backlog_at_arrival_end,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.9856970341768276,mono,0.9856970341768276,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,server_busy_fraction,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,0.15489281336576716,mono,0.15489281336576716,0.0,0.0,,piecewise,E4,E4-68a8cf9325fb,0.0,0.0,0.0,batch_slot_occupancy,5,16,,chunk_512,short_long,0.0,0.0,0.0,2000,workload_seed,0.0
poisson,3.5535322649549244,mono,10399.845039522897,10841.272427321435,9951.310587194454,,piecewise,E4,E4-68a8cf9325fb,10396.291507257944,10396.291507257944,10532.616187167096,ttft_p50_ms,5,16,18.053801010340475,fcfs,short_long,292562.18129174114,304625.1176001223,280704.50189927523,2000,workload_seed,575.8505647261413
poisson,6.122484885061046,mono,19714.055780666073,20391.140252418925,19092.349191388912,,piecewise,E4,E4-68a8cf9325fb,19707.933295781007,19707.933295781007,19527.81306990846,ttft_p95_ms,5,16,23.470672450219062,fcfs,short_long,321894.35606233444,337458.5165088879,298892.8560869337,2000,workload_seed,839.683368151519
poisson,7.387554832014541,mono,20256.21966300969,20882.18907157855,19729.131011208352,,piecewise,E4,E4-68a8cf9325fb,20248.832108177674,20248.832108177674,19948.374466359393,ttft_p99_ms,5,16,28.04428582754992,fcfs,short_long,274093.8317023082,292853.36796023056,257113.1776818585,2000,workload_seed,722.0305852212427
poisson,1.2448146175758061,mono,0.7918160500000038,-0.3848358828476398,-0.5257704884336294,,piecewise,E4,E4-68a8cf9325fb,-0.45299856757580237,-0.45299856757580237,-0.4356940649843307,tpot_p95_ms,5,16,-4.964809609861072,fcfs,short_long,-36.3908457677005,-32.705977372088654,-39.90380717328511,2000,workload_seed,0.09124188099299108
poisson,1.2860600730455007,mono,0.7921412500000058,-0.4142970517834554,-0.5729348309846336,,piecewise,E4,E4-68a8cf9325fb,-0.49391882304549506,-0.49391882304549506,-0.5047588121689629,tpot_p99_ms,5,16,-5.086226584818005,fcfs,short_long,-38.40557944356773,-34.343082078876655,-41.970837181946166,2000,workload_seed,0.0971090876131639
poisson,512.9378840666717,mono,19948.21757550448,20127.251916782363,18845.4286641031,,piecewise,E4,E4-68a8cf9325fb,19435.279691437812,19435.279691437812,19188.732175478934,e2e_p95_ms,5,16,23.893522390517777,fcfs,short_long,3789.0123336867064,3882.3805182637593,3692.2256266227946,2000,workload_seed,813.4120777081728
poisson,1.228776399999965,mono,0.7925310000002355,-0.37025699999899186,-0.5104489850005876,,piecewise,E4,E4-68a8cf9325fb,-0.4362453999997296,-0.4362453999997296,-0.4519749999999476,itl_p95_ms,5,16,-4.596478587880619,fcfs,short_long,-35.502423386365656,-31.8422580269768,-39.1751617883577,2000,workload_seed,0.09490861137697089
